transaction_id,client_id,transaction_date,service,amount,payment_method,city,consultant
transaction_id,client_id,INVALID_DATE,service,43849.71305507447,payment_method,city,consultant
ff36597c-df41-44a0-9f46-6aa1fe615270,1ec5ab91-fdd0-4925-a221-f0c4e04fe0e7,2025-01-04 00:02:20,Структурирование капитала,55838.0597887567,Банковский перевод,North Patrickport,Cheryl Waller
0d5263ec-413d-44d9-a9d3-a996e3a56b05,c940f45c-d29b-439a-8fa3-f75018cef528,2025-03-10 17:16:50,Структурирование капитала,37514.8092094764,Неизвестно,New Zacharyport,Frank Pollard
5e9a8978-df1c-483f-a53b-16149c93f11e,cfa21d7e-8499-43d0-9dfb-f4a1b94ce44c,2025-02-13 19:43:49,Структурирование капитала,21022.1468718863,Неизвестно,Port Michellemouth,Alexandra Meyer
524031ea-56e2-410a-aee2-e8fc6ae3fbc5,Unknown,2025-03-02 03:14:10,Финансовое планирование,2313.9802185852,Неизвестно,Erichaven,Patricia Haas
421aaf04-c97d-42ac-b35f-09a56bbaf910,3f43d7bc-37f0-4535-8391-51702d6ff81e,2025-03-18 21:00:36,Структурирование капитала,5636.58695496415,Неизвестно,Bondstad,Melissa Pena
822d5795-4f08-4a7a-9692-7f5863945bdf,900f7d6b-ee7f-49e6-ae9f-e5ea9e04ab4c,2025-02-21 21:50:30,Инвестиционное консультирование,85575.7732847519,Кредитная карта,West Jaymouth,Harold Gibson
3f753dcc-d710-4640-bf88-085a52bd0a77,8c65a1e3-05a0-420d-800e-6ea786892ea1,2025-01-29 18:34:35,Неизвестная услуга,18383.9078861453,Кредитная карта,Johnsonfort,Wendy Cooper
56daf0d6-6f65-45a2-8895-8bcbcf0a7f51,9f6d2dfb-20af-4329-8383-7bd7b14f2480,2025-03-11 22:56:28,Налоговое планирование,5590.17542415008,Банковский перевод,Tonystad,Ethan Lowe
b40616d1-176c-4b07-9b7f-3f313440ccf6,27c2994f-97a1-4ff1-a9e4-bc52db0f603a,2025-01-06 19:54:19,Управление активами,84945.3526219301,Кредитная карта,Ronaldville,Laura Herrera
5fcd81cd-379c-4dc7-a70e-f4ace842f3df,9f29e688-86ca-46f2-bfdd-0a9d33013f47,2025-01-27 17:59:07,Финансовое планирование,29785.1054203274,Криптовалюта,Elizabethmouth,Ronald Shepherd
e5f0b30c-322d-448e-9bfe-152a8d15c943,d88d56e9-5b1c-4d9e-8453-5ec594f38eed,2025-03-08 01:20:51,Управление активами,3193.12815647846,Кредитная карта,Johnsonfort,Jordan Phillips
Unknown,740a1f26-a360-4ea2-974e-dbe5c3a3dd4e,2025-03-15 22:41:37,Управление активами,55780.0228695415,Банковский перевод,Ibarramouth,Phillip White
4156d1f8-4d77-40de-ac6a-e67acb075937,f28e9620-02cf-4fc4-95a1-571052ce64b1,2025-02-27 08:26:47,Управление активами,33937.7235593243,Банковский перевод,North Patrickport,Teresa Baker
b1a66816-f8b4-445b-89b9-78e541524b41,0f707db3-f516-499a-85af-355c95ff9825,2025-01-28 13:44:37,Управление активами,26646.0138108538,Кредитная карта,Ronaldville,Teresa Baker
8d03062b-64a5-4a2c-a709-4953cb8720de,94ffd715-de09-4d66-a78b-f2ef924acdac,2025-01-30 19:57:15,Инвестиционное консультирование,56024.0222813144,Наличные,Matthewsville,Gary Stevenson
11ad5e7b-5942-4d12-9a96-cff6f0facf79,4261949d-ee79-4d17-b9c2-0f4263864a83,2025-02-13 10:03:09,Структурирование капитала,64155.078899956,Криптовалюта,North Lauriebury,Неизвестный консультант
c2a16f1a-125f-4cb7-8307-5ecc080b4123,2d75aeca-1211-479a-a190-6af66c85f3d8,2025-03-08 20:34:06,Инвестиционное консультирование,120835.547580704,Банковский перевод,Lake Sallychester,Tiffany James
125e15aa-1510-436d-b32f-79cc79bd2203,92c2cf71-fbc1-41aa-a88b-f2b702a7e946,INVALID_DATE,Финансовое планирование,36818.4060451165,Наличные,Jeanettetown,Sarah Alvarez
bf0c08ab-c118-4155-91f4-95f09fe6a1fa,fedfe1eb-e79a-4527-9dd9-991af7e2b34d,INVALID_DATE,Налоговое планирование,36896.3089099232,Кредитная карта,North Patrickport,Michelle Morse
f5d40542-c6db-41ad-bcd1-1843f57fd77a,c1ece6b8-97d5-4963-914f-3cfe20e43964,2025-02-04 14:29:23,Управление активами,46907.6227583451,Банковский перевод,Trevinoberg,Lisa Sanchez MD
08b70784-74b8-4a80-a3ea-ff9782f2d56a,67798583-6dc9-41e2-a7f3-58a8df782a28,2025-03-20 12:26:18,Управление активами,65395.1284205665,Кредитная карта,South Andrew,Erik Garcia
0aed2448-4e41-4dfb-8de5-7a9e6f6d8d33,Unknown,2025-01-27 18:27:54,Управление активами,110744.480001525,Банковский перевод,New Ryan,Phillip White
8436d6c3-b1b6-499e-bc08-84c10d22b615,d2c35d90-f102-4b9a-bff0-59d2008a6d6e,2025-01-28 04:32:05,Неизвестная услуга,49943.8705170474,Кредитная карта,Hamiltontown,Wendy Cooper
521bbc85-ed90-416c-b42b-96884f9e5630,be8db498-f6f3-44dc-acaa-4bd6f560bd77,2025-02-12 21:04:23,Управление активами,3144.26612528807,Кредитная карта,Davidmouth,Ethan Lowe
34f938b9-b286-44aa-a811-9e2a1099e6c4,661ff31f-abb1-41da-9d5d-5b49bbecf7e0,2025-01-02 02:33:25,Структурирование капитала,88036.4702826787,Банковский перевод,North Lauriebury,David Thompson
190ce3c6-8657-437b-b3ba-1cc21dbbe421,53a3dcf3-3707-4fff-b1e1-ee2c4f357e1d,INVALID_DATE,Управление активами,99420.5878883749,Наличные,Davidsonborough,Judith Hansen
4115eb62-24ae-43a0-a5fc-3b0dd7cd6d03,1028e509-ee57-475f-838b-182a98f08dfc,2025-01-08 03:46:10,Налоговое планирование,4944.51950019669,Банковский перевод,New Dianechester,Melissa Pena
9a5aaf31-eb89-442a-a07d-1d9068ec55ac,0fb4ded0-3b40-4012-b1a9-0317f788e6dd,2025-02-05 20:39:44,Инвестиционное консультирование,74631.1204299263,Кредитная карта,Matthewsville,Erik Garcia
cc260007-870e-45e4-ac89-ec56d5a5df99,f945845d-bff2-4c9e-8eb0-4068fdd4dc0c,2025-01-25 01:52:44,Управление активами,75824.6924331831,Кредитная карта,Lake Arielmouth,Emily Stewart
e352563f-985f-46cb-9b1e-37ff7995b338,53113fae-453b-464b-8e39-a0337fc727e1,INVALID_DATE,Инвестиционное консультирование,10711.4654972141,Банковский перевод,Cruzport,Ronald Benson
b63f5c93-8fd7-4a79-ad92-e7eda3339975,bbd136c3-7f29-42e0-8abc-d8c4bb81fa69,2025-02-17 08:51:56,Неизвестная услуга,117442.413606945,Кредитная карта,Lake Tina,David Thompson
8308ba05-750a-4b09-84a5-b4ea265d5b65,41d9d6b0-c17f-4b05-adda-e25e27528ccd,2025-01-10 13:06:07,Финансовое планирование,43849.71305507447,Банковский перевод,Elizabethmouth,Melissa Pena
56c47177-7417-4e34-ba21-5ab5b2a2fad2,cf1915e8-c11a-410c-aae4-3a93839b9672,2025-01-08 06:00:13,Финансовое планирование,147439.369085993,Кредитная карта,Krystalland,Patricia Haas
39d183b4-375d-4dae-bd0f-fb5a2cdf5c7c,a9090193-941a-4aa4-b38b-3c93e2eb44d6,2025-02-23 22:54:54,Финансовое планирование,43264.6122701864,Банковский перевод,Krystalland,Travis Curtis
4ebd42c4-9ff8-47f0-802e-734f4b8a5502,62e75c7a-961e-4d40-9e09-5666cb1baebd,2025-01-28 20:17:24,Налоговое планирование,27212.2077157581,Банковский перевод,Aprilstad,Gary Stevenson
65b2d784-5170-4ebf-b638-7e4f56ec4c49,1733882e-e21b-4562-aa33-785750996b0d,2025-03-17 05:49:26,Инвестиционное консультирование,44249.7602935768,Банковский перевод,Krystalland,David Thompson
e871e518-b55d-4b82-987d-f48c52ce5313,809fc542-5c61-45ea-94d0-688aa3cceb8e,2025-02-18 20:46:56,Структурирование капитала,46429.1507486025,Банковский перевод,South Thomas,Rachel Williamson
345a532b-87ef-4507-a91f-3c3dcac97661,2c9233e6-c467-4ef9-b4c5-30c81270cf9e,2025-01-31 02:22:09,Управление активами,42996.4442639784,Банковский перевод,South Andrew,Wendy Cooper
de42365e-4ff9-4f0d-836d-149885cdcf9e,8db156c7-4593-451e-9555-afd1978188ac,2025-01-23 16:43:43,Налоговое планирование,2157.628124903,Кредитная карта,Hamiltontown,David Thompson
e97d1635-bc12-45fa-8816-88416c26a5a4,62bcfb2c-d9e1-4b2e-9223-ffcddbbfcee7,2025-02-05 23:33:18,Налоговое планирование,69541.0959900577,Кредитная карта,South Andrew,Joshua Fuentes
e057d930-d9b4-4515-a46a-f4d000be5fb1,1526f9d3-a0ce-4e3b-ba1e-afc7ce44b49b,2025-03-17 11:20:07,Структурирование капитала,34894.6486385801,Банковский перевод,Erichaven,Laura Herrera
